,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,E,,,,,,1,
,,,,,,,,,,G,,,,,,1,
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,Eb,,,,,,1,
,,,,,,,,,,G,,,,,,1,
,,,,,,,,,,Bb,,,,,,1,
,,,,,,,,,,Eb,,,,,,1,
,,,,,,,,,,G,,,,,,1,
,,,,,,,,,,Bb,,,,,,1,
,,,,,,,,,,Eb,,,,,,1,
,,,,,,,,,,Gb,,,,,,1,
,,,,,,,,,,Bb,,,,,,1,
,,,,,,,,,,Db,,,,,,1,
,,,,,,,,,,Gb,,,,,,1,
,,,,,,,,,,A,,,,,,1,
,,,,,,,,,,C#,,,,,,1,
,,,,,,,,,,F#,,,,,,1,
,,,,,,,,,,A,,,,,,1,
,,,,,,,,,,C#,,,,,,1,
,,,,,,,,,,E,,,,,,1,
,,,,,,,,,,A,,,,,,1,
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,E,,,,,,1,
,,,,,,,,,,G,,,,,,1,
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,E,,,,,,1,
