,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,E,,,,,,1,
,,,,,,,,,,G,,,,,,1,
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,Eb,,,,,,1,
,,,,,,,,,,G,,,,,,1,
,,,,,,,,,,C,,,,,,1,
,,,,,,,,,,Eb,,,,,,1,
,,,,,,,,,,Ab,,,,,,1,
,,,,,,,,,,Cb,,,,,,1,
,,,,,,,,,,Eb,,,,,,1,
,,,,,,,,,,Ab,,,,,,1,
,,,,,,,,,,Cb,,,,,,1,
,,,,,,,,,,Fb,,,,,,1,
,,,,,,,,,,Ab,,,,,,1,
,,,,,,,,,,Cb,,,,,,1,
,,,,,,,,,,Fb,,,,,,1,
,,,,,,,,,,Abb,,,,,,1,
,,,,,,,,,,Dbb,,,,,,1,
,,,,,,,,,,Fb,,,,,,1,
,,,,,,,,,,Abb,,,,,,1,
